"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1950/01/01","00:00","0.836","NaN","0.373","-0.258","-0.285","-0.944","NaN","-1.45","0"
"1950/02/01","00:00","1.141","NaN","0.419","-0.206","-0.234","-0.886","NaN","-1.633","0"
"1950/03/01","00:00","0.928","NaN","0.297","-0.34","-0.365","-1.026","NaN","-1.755","0"
"1950/04/01","00:00","0.989","NaN","0.483","-0.179","-0.197","-0.877","NaN","-1.297","0"
"1950/05/01","00:00","0.989","NaN","0.507","-0.17","-0.188","-0.883","NaN","-1.206","0"
"1950/06/01","00:00","0.989","NaN","0.489","-0.17","-0.188","-0.865","NaN","-1.114","0"
"1950/07/01","00:00","0.867","NaN","0.498","-0.151","-0.176","-0.846","NaN","-1.053","0"
"1950/08/01","00:00","0.836","NaN","0.541","-0.099","-0.121","-0.779","NaN","-1.023","0"
"1950/09/01","00:00","1.172","NaN","0.586","-0.051","-0.072","-0.727","NaN","-1.084","0"
"1950/10/01","00:00","1.05","NaN","0.553","-0.075","-0.096","-0.743","NaN","-1.297","0"
"1950/11/01","00:00","1.995","NaN","0.605","-0.051","-0.06","-0.721","NaN","-1.267","0"
"1950/12/01","00:00","1.537","NaN","0.535","-0.103","-0.121","-0.773","NaN","-1.328","0"
"1951/01/01","00:00","0.989","NaN","0.428","-0.212","-0.234","-0.898","NaN","-1.419","0"
"1951/02/01","00:00","1.08","NaN","0.422","-0.203","-0.234","-0.892","NaN","-1.937","0"
"1951/03/01","00:00","1.111","NaN","0.605","-0.029","-0.057","-0.715","NaN","-1.358","0"
"1951/04/01","00:00","0.958","NaN","0.541","-0.106","-0.136","-0.813","NaN","-1.267","0"
"1951/05/01","00:00","1.141","NaN","0.608","-0.042","-0.069","-0.743","NaN","-1.023","0"
"1951/06/01","00:00","1.05","NaN","0.647","0.001","-0.026","-0.697","NaN","-1.053","0"
"1951/07/01","00:00","1.08","NaN","0.55","-0.093","-0.112","-0.776","NaN","-1.145","0"
